store_id,store_name,address,city,state,country
ST000001,Fresh Supermarket #1,71 Church Street,New Delhi,Delhi,India
ST000002,City Pharmacy #2,27 Hill Street,New Delhi,Delhi,India
ST000003,Neighborhood Supermarket #3,9 Main Road,Mumbai,Maharashtra,India
ST000004,Metro Supermarket #4,130 Garden Lane,Bengaluru,Karnataka,India
ST000005,Family Supermarket #5,184 Hill Street,Bengaluru,Karnataka,India
ST000006,Metro Grocery Store #6,151 Station Road,Mumbai,Maharashtra,India
ST000007,Green Supermarket #7,179 Park Avenue,Bengaluru,Karnataka,India
ST000008,Prime Hypermarket #8,56 MG Road,Bengaluru,Karnataka,India
ST000009,Daily Supermarket #9,25 MG Road,Mumbai,Maharashtra,India
ST000010,Neighborhood Hypermarket #10,12 Lake View Road,Mumbai,Maharashtra,India
ST000011,Daily Convenience Store #11,21 Hill Street,Mumbai,Maharashtra,India
ST000012,Royal Hypermarket #12,159 MG Road,New Delhi,Delhi,India
ST000013,Metro Convenience Store #13,18 Main Road,New Delhi,Delhi,India
ST000014,Green Pharmacy #14,21 Church Street,Mumbai,Maharashtra,India
ST000015,Corner Supermarket #15,117 MG Road,Mumbai,Maharashtra,India
ST000016,Value Pharmacy #16,54 Station Road,Mumbai,Maharashtra,India
ST000017,Neighborhood Supermarket #17,44 Hill Street,New Delhi,Delhi,India
ST000018,City Pharmacy #18,98 Station Road,Mumbai,Maharashtra,India
ST000019,Metro Convenience Store #19,84 Main Road,New Delhi,Delhi,India
ST000020,Royal Pharmacy #20,81 Park Avenue,Bengaluru,Karnataka,India
ST000021,Daily Hypermarket #21,146 MG Road,Bengaluru,Karnataka,India
ST000022,Star Pharmacy #22,102 Lake View Road,Mumbai,Maharashtra,India
ST000023,Prime Pharmacy #23,64 Hill Street,Bengaluru,Karnataka,India
ST000024,Prime Convenience Store #24,150 Park Avenue,New Delhi,Delhi,India
ST000025,Corner Convenience Store #25,57 Market Street,Mumbai,Maharashtra,India
ST000026,Quick Convenience Store #26,194 Main Road,Bengaluru,Karnataka,India
ST000027,City Supermarket #27,41 Park Avenue,New Delhi,Delhi,India
ST000028,Daily Convenience Store #28,98 Garden Lane,Mumbai,Maharashtra,India
ST000029,Family Grocery Store #29,142 Main Road,Mumbai,Maharashtra,India
ST000030,Star Supermarket #30,193 Station Road,New Delhi,Delhi,India
ST000031,Daily Hypermarket #31,112 Market Street,Mumbai,Maharashtra,India
ST000032,Fresh Grocery Store #32,185 Station Road,New Delhi,Delhi,India
ST000033,Green Convenience Store #33,130 Ring Road,Bengaluru,Karnataka,India
ST000034,Royal Hypermarket #34,130 Garden Lane,New Delhi,Delhi,India
ST000035,City Pharmacy #35,196 Market Street,Mumbai,Maharashtra,India
ST000036,Green Convenience Store #36,1 Garden Lane,New Delhi,Delhi,India
ST000037,Quick Hypermarket #37,29 MG Road,Bengaluru,Karnataka,India
ST000038,Metro Hypermarket #38,62 Garden Lane,Bengaluru,Karnataka,India
ST000039,Daily Supermarket #39,125 Ring Road,New Delhi,Delhi,India
ST000040,Green Convenience Store #40,33 Lake View Road,Bengaluru,Karnataka,India
ST000041,City Convenience Store #41,136 Garden Lane,Mumbai,Maharashtra,India
ST000042,Metro Grocery Store #42,194 Church Street,New Delhi,Delhi,India
ST000043,Corner Hypermarket #43,167 MG Road,New Delhi,Delhi,India
ST000044,Elite Grocery Store #44,116 Ring Road,New Delhi,Delhi,India
ST000045,Metro Pharmacy #45,87 Main Road,Bengaluru,Karnataka,India
ST000046,Family Convenience Store #46,151 Church Street,Bengaluru,Karnataka,India
ST000047,Daily Supermarket #47,162 Main Road,New Delhi,Delhi,India
ST000048,Daily Pharmacy #48,85 Ring Road,Bengaluru,Karnataka,India
ST000049,Metro Convenience Store #49,172 Lake View Road,Mumbai,Maharashtra,India
ST000050,Family Pharmacy #50,186 Garden Lane,Bengaluru,Karnataka,India
ST000051,Quick Convenience Store #51,122 Park Avenue,Bengaluru,Karnataka,India
ST000052,Daily Pharmacy #52,169 Park Avenue,Bengaluru,Karnataka,India
ST000053,Corner Hypermarket #53,120 Main Road,Mumbai,Maharashtra,India
ST000054,Fresh Supermarket #54,187 MG Road,Mumbai,Maharashtra,India
ST000055,Metro Supermarket #55,49 Hill Street,Bengaluru,Karnataka,India
ST000056,City Grocery Store #56,47 Station Road,Mumbai,Maharashtra,India
ST000057,Metro Grocery Store #57,114 Hill Street,Bengaluru,Karnataka,India
ST000058,Fresh Supermarket #58,139 Main Road,New Delhi,Delhi,India
ST000059,Elite Supermarket #59,43 Park Avenue,Bengaluru,Karnataka,India
ST000060,Quick Grocery Store #60,103 Main Road,Bengaluru,Karnataka,India
ST000061,Corner Pharmacy #61,100 Station Road,Bengaluru,Karnataka,India
ST000062,Prime Grocery Store #62,179 Hill Street,Mumbai,Maharashtra,India
ST000063,City Grocery Store #63,76 Church Street,Bengaluru,Karnataka,India
ST000064,Neighborhood Supermarket #64,139 Main Road,New Delhi,Delhi,India
ST000065,Fresh Hypermarket #65,150 Lake View Road,Bengaluru,Karnataka,India
ST000066,Elite Convenience Store #66,41 Main Road,New Delhi,Delhi,India
ST000067,Daily Convenience Store #67,18 Garden Lane,Bengaluru,Karnataka,India
ST000068,Star Supermarket #68,104 Ring Road,Bengaluru,Karnataka,India
ST000069,Metro Convenience Store #69,153 Main Road,New Delhi,Delhi,India
ST000070,Daily Convenience Store #70,169 Garden Lane,Mumbai,Maharashtra,India
ST000071,Family Convenience Store #71,67 Church Street,Mumbai,Maharashtra,India
ST000072,Metro Hypermarket #72,102 Market Street,Mumbai,Maharashtra,India
ST000073,Quick Hypermarket #73,193 Ring Road,Mumbai,Maharashtra,India
ST000074,Quick Supermarket #74,145 Ring Road,New Delhi,Delhi,India
ST000075,Family Supermarket #75,130 Station Road,Bengaluru,Karnataka,India
ST000076,Elite Pharmacy #76,18 Church Street,Mumbai,Maharashtra,India
ST000077,Prime Hypermarket #77,113 Hill Street,Bengaluru,Karnataka,India
ST000078,Neighborhood Hypermarket #78,136 Main Road,New Delhi,Delhi,India
ST000079,Prime Convenience Store #79,27 Market Street,New Delhi,Delhi,India
ST000080,Daily Hypermarket #80,191 Hill Street,Bengaluru,Karnataka,India
